"","x.state","sex","x.race.g1","diabete3"
"1.4.2",4,2,1,0.108885882534315
"2.4.2",4,2,2,0.148725958440918
"3.4.2",4,2,3,0.128923347780878
"4.4.2",4,2,4,0.173627271694706
"5.4.2",4,2,5,0.110039355771179
"1.5.2",5,2,1,0.154706739627951
"2.5.2",5,2,2,0.183222306643587
"3.5.2",5,2,3,0.207525014820144
"4.5.2",5,2,4,0.412978872506073
"5.5.2",5,2,5,0.52147159529921
"1.6.2",6,2,1,0.111018664670021
"2.6.2",6,2,2,0.15896032453456
"3.6.2",6,2,3,0.183213967408443
"4.6.2",6,2,4,0.20089846017231
"5.6.2",6,2,5,0.148800278810935
"1.8.2",8,2,1,0.069305489260867
"2.8.2",8,2,2,0.0838084544926357
"3.8.2",8,2,3,0.137571210027822
"4.8.2",8,2,4,0.0756197233300466
"5.8.2",8,2,5,0.112882987389248
"1.9.2",9,2,1,0.105381471157592
"2.9.2",9,2,2,0.197594415477542
"3.9.2",9,2,3,0.190571493511731
"4.9.2",9,2,4,0.104173382830405
"5.9.2",9,2,5,0.133063626085492
"1.10.2",10,2,1,0.141309338509927
"2.10.2",10,2,2,0.182610944171036
"3.10.2",10,2,3,0.211317345991872
"4.10.2",10,2,4,0.0685761873286806
"5.10.2",10,2,5,0.073650522027894
"1.11.2",11,2,1,0.0346268323303268
"2.11.2",11,2,2,0.170527443168308
"3.11.2",11,2,3,0.0401901199675229
"4.11.2",11,2,4,0.0841146663823711
"5.11.2",11,2,5,0.36304020170585
"1.12.2",12,2,1,0.148748141541717
"2.12.2",12,2,2,0.186162575968078
"3.12.2",12,2,3,0.162405035494747
"4.12.2",12,2,4,0.150218696237604
"5.12.2",12,2,5,0.106398222364026
"1.13.2",13,2,1,0.171064736549941
"2.13.2",13,2,2,0.177800426985988
"3.13.2",13,2,3,0.20228878981333
"4.13.2",13,2,4,0.0502636866530378
"5.13.2",13,2,5,0.0745887714655464
"1.15.2",15,2,1,0.0576835882156959
"2.15.2",15,2,2,0.155020106362609
"3.15.2",15,2,3,0.178029707281082
"4.15.2",15,2,4,0.170166780241267
"5.15.2",15,2,5,0.149821740613077
"1.16.2",16,2,1,0.1174062596388
"2.16.2",16,2,2,0.112600809287145
"3.16.2",16,2,3,0.105145821573494
"4.16.2",16,2,4,0.109361266243481
"5.16.2",16,2,5,0.223938689760425
"1.17.2",17,2,1,0.121334007689501
"2.17.2",17,2,2,0.162485957616312
"3.17.2",17,2,3,0.203110991832079
"4.17.2",17,2,4,0.102043614879051
"5.17.2",17,2,5,0.11424077035032
"1.18.2",18,2,1,0.137502500546017
"2.18.2",18,2,2,0.148333261633384
"3.18.2",18,2,3,0.113274802936526
"4.18.2",18,2,4,0.157095286946825
"5.18.2",18,2,5,0.26571988186552
"1.19.2",19,2,1,0.112076166248944
"2.19.2",19,2,2,0.111320736953569
"3.19.2",19,2,3,0.121630081562871
"4.19.2",19,2,4,0.108221483745203
"5.19.2",19,2,5,0.132455871529862
"1.20.2",20,2,1,0.118622166924789
"2.20.2",20,2,2,0.215358601324389
"3.20.2",20,2,3,0.126258562809334
"4.20.2",20,2,4,0.138154135478858
"5.20.2",20,2,5,0.203758837343313
"1.21.2",21,2,1,0.166193194048332
"2.21.2",21,2,2,0.190499923791634
"3.21.2",21,2,3,0.310396369484554
"4.21.2",21,2,4,0.263876811699048
"5.21.2",21,2,5,0.187673552477582
"1.22.2",22,2,1,0.145509185933377
"2.22.2",22,2,2,0.208003563245534
"3.22.2",22,2,3,0.0595698405943977
"4.22.2",22,2,4,0.175607085309996
"5.22.2",22,2,5,0.0595628552905987
"1.23.2",23,2,1,0.12027237553164
"2.23.2",23,2,2,0.0254588843567268
"3.23.2",23,2,3,0.0607302001073105
"4.23.2",23,2,4,0.11991043657388
"5.23.2",23,2,5,0.182426515837205
"1.24.2",24,2,1,0.111023951769891
"2.24.2",24,2,2,0.155257347728758
"3.24.2",24,2,3,0.136790628633998
"4.24.2",24,2,4,0.14186368198023
"5.24.2",24,2,5,0.0809884644143569
"1.25.2",25,2,1,0.114625512135906
"2.25.2",25,2,2,0.242652300761482
"3.25.2",25,2,3,0.202567087010185
"4.25.2",25,2,4,0.121585299693046
"5.25.2",25,2,5,0.285811714706022
"1.26.2",26,2,1,0.122165307274404
"2.26.2",26,2,2,0.122897409560606
"3.26.2",26,2,3,0.10776999350558
"4.26.2",26,2,4,0.141573231885276
"5.26.2",26,2,5,0.128559456283377
"1.27.2",27,2,1,0.11790559298989
"2.27.2",27,2,2,0.130681704394343
"3.27.2",27,2,3,0.17170792623472
"4.27.2",27,2,4,0.152230947140514
"5.27.2",27,2,5,0.165811560425324
"1.28.2",28,2,1,0.152451021536896
"2.28.2",28,2,2,0.231152723036615
"3.28.2",28,2,3,0.0128311038087199
"4.28.2",28,2,4,0.0956985561569217
"5.28.2",28,2,5,0.361736005400078
