"","fips","sex","x.race.g1","x.michd","fips","sex","x.race.g1","cvdinfr4","fips","sex","x.race.g1","cvdstrk3","fips","sex","x.race.g1","cvdcrhd4"
"3.38.1",38,1,3,0.135991042739369,13,1,4,0.00251275363233989,13,1,4,0.0208667059761998,13,1,4,0.00251275363233989
"4.38.1",38,1,4,0.0733485250152009,15,1,4,0.049740799281698,15,1,4,0.0311024959688776,15,1,4,0.0439823348793295
"5.38.1",38,1,5,0.0212442982383272,16,1,4,0.0691927234434912,16,1,4,0.0161613763592636,16,1,4,0.0426544827491959
"1.39.1",39,1,1,0.098952737532994,17,1,4,0.0307562059413603,17,1,4,0.0081880636224749,17,1,4,0.0417678757593822
"2.39.1",39,1,2,0.0778871878827351,18,1,4,0.0214361148662927,18,1,4,0.0289685756165637,18,1,4,0.0989142502727324
"3.39.1",39,1,3,0.0277509627313801,19,1,4,0.0555957608196321,19,1,4,0.0355039479559791,19,1,4,0.222865536454534
"4.39.1",39,1,4,0.0358915519862334,20,1,4,0.0300303190518787,20,1,4,0.00584326274378494,20,1,4,0.0292334292900946
"5.39.1",39,1,5,0.0398601424475572,21,1,4,0.205092618360706,21,1,4,0.0645508111525918,21,1,4,0.308544544832576
"1.40.1",40,1,1,0.10712333826187,22,1,4,0.346176719039759,22,1,4,0.0339268751160446,22,1,4,0.0994335144936439
"2.40.1",40,1,2,0.0887099006108854,23,1,4,0.0592100378576142,23,1,4,0.0320235687796529,23,1,4,0.111678873442076
"3.40.1",40,1,3,0.0211190495294317,24,1,4,0.0301566530206284,24,1,4,0.0262171870138064,24,1,4,0.0233226964698006
"4.40.1",40,1,4,0.0814978217051973,25,1,4,0.0301767004227131,25,1,4,0.164588496902104,25,1,4,0.172470793859683
"5.40.1",40,1,5,0.136809024383581,26,1,4,0.0341682261863937,26,1,4,0.203034198289009,26,1,4,0.028468710761622
"1.41.1",41,1,1,0.0888777923752353,27,1,4,0.0318910796598647,27,1,4,0.0309888056567321,27,1,4,0.0393037165166629
"2.41.1",41,1,2,0,28,1,4,0.0240975125821197,28,1,4,0,28,1,4,0.0173953362589568
"3.41.1",41,1,3,0.0600654195712797,29,1,4,0.00626430426827198,29,1,4,0.0357363331922086,29,1,4,0.0439772842492112
"4.41.1",41,1,4,0.0719921521731868,30,1,4,0.0655235947132016,30,1,4,0.192195822198072,30,1,4,0.0895658389154061
"5.41.1",41,1,5,0.0531332531851457,31,1,4,0.0300377736056862,31,1,4,0.00660876988510459,31,1,4,0.0258552266253443
"1.42.1",42,1,1,0.0971695367640449,32,1,4,0.047231806718968,32,1,4,0.031720355779058,32,1,4,0.0444699827588896
"2.42.1",42,1,2,0.0911806709150114,33,1,4,0.0594726754537322,33,1,4,0.0171448405166469,33,1,4,0.0338627344067225
"3.42.1",42,1,3,0.0899952027508495,34,1,4,0.0490077575112873,34,1,4,0.0252772125459903,34,1,4,0.108016395027219
"4.42.1",42,1,4,0.0377721812920089,35,1,4,0.0771436618430841,35,1,4,0.0329608573778687,35,1,4,0.055501765735659
"5.42.1",42,1,5,0.0637259115892873,36,1,4,0.0512567287052743,36,1,4,0.0101053110919957,36,1,4,0.126141090788576
"1.44.1",44,1,1,0.0887758262538974,37,1,4,0.0177727914424268,37,1,4,0.0118535067580414,37,1,4,0.0229813179856031
"2.44.1",44,1,2,0.0390511522497811,38,1,4,0.0672541702200633,38,1,4,0.00426618701752543,38,1,4,0.158157211086657
"3.44.1",44,1,3,0.0523429495281619,39,1,4,0.0238644093292764,39,1,4,0.0314500947515387,39,1,4,0.0334765314229016
"4.44.1",44,1,4,0.0978480095857105,40,1,4,0.0656829632395649,40,1,4,0.0423428552341139,40,1,4,0.0703019665174082
"5.44.1",44,1,5,0.0318307324486203,41,1,4,0.0662950314501,41,1,4,0.0106977151664312,41,1,4,0.0420961753417767
"1.45.1",45,1,1,0.10080893905211,42,1,4,0.0271947883213912,42,1,4,0.00730582727030855,42,1,4,0.022518578664296
"2.45.1",45,1,2,0.0577378501014252,44,1,4,0.0821175997867842,44,1,4,0.110684053352718,44,1,4,0.136562425955473
"3.45.1",45,1,3,0.0131074855872316,45,1,4,0.0422890463490104,45,1,4,0.0615076141074837,45,1,4,0.0731666735202294
"4.45.1",45,1,4,0.0544333034869044,46,1,4,0.0755326770173593,46,1,4,0.0148004829425262,46,1,4,0.0624157970406561
"5.45.1",45,1,5,0.0981910990559509,47,1,4,0.0547151410769127,47,1,4,0.0143449753453452,47,1,4,0.180778930789213
"1.46.1",46,1,1,0.107517160324096,48,1,4,0.0361428102853452,48,1,4,0.00623864082975856,48,1,4,0.0433363438747017
"2.46.1",46,1,2,0.0156513510982979,49,1,4,0.0438464405163357,49,1,4,0.0178863287139131,49,1,4,0.0211350789927983
"3.46.1",46,1,3,0.0286051217901946,50,1,4,0.159571572176907,50,1,4,0.119147965464494,50,1,4,0.13042547458092
"4.46.1",46,1,4,0.0851092973815081,51,1,4,0.00818102941762775,51,1,4,0.00243658296688767,51,1,4,0.0104181164858095
"5.46.1",46,1,5,0.0166393307880588,53,1,4,0.0359221984891958,53,1,4,0.0451458473661219,53,1,4,0.0622233710972775
"1.47.1",47,1,1,0.113519201393414,54,1,4,0.0955938524258466,54,1,4,0.0605239536948533,54,1,4,0.166757771701936
