"","fips","sex","x.race.g1","x.rfbmi5"
"3.53.1",53,1,3,0.778222989187291
"4.53.1",53,1,4,0.558394671999848
"5.53.1",53,1,5,0.705072576835545
"1.54.1",54,1,1,0.758149139390045
"2.54.1",54,1,2,0.802126670403954
"3.54.1",54,1,3,0.617311524292822
"4.54.1",54,1,4,0.69556262736892
"5.54.1",54,1,5,0.746185782739721
"1.55.1",55,1,1,0.737607546028799
"2.55.1",55,1,2,0.649810527802709
"3.55.1",55,1,3,0.634391021083248
"4.55.1",55,1,4,0.552452129727559
"5.55.1",55,1,5,0.669139396730721
"1.56.1",56,1,1,0.715020993889788
"2.56.1",56,1,2,0.487210341576698
"3.56.1",56,1,3,0.722320313427715
"4.56.1",56,1,4,0.617734913340159
"5.56.1",56,1,5,0.566447102290479
"1.66.1",66,1,1,0.797082020223658
"2.66.1",66,1,2,0.686870093309276
"3.66.1",66,1,3,0.739123492641966
"4.66.1",66,1,4,0.650796293132232
"5.66.1",66,1,5,0.70592106720744
"1.72.1",72,1,1,0.628113640876672
"2.72.1",72,1,2,0.583488541083513
"3.72.1",72,1,3,0.683420414093081
"4.72.1",72,1,4,0.589846512276265
"5.72.1",72,1,5,1
"1.78.1",78,1,1,0.622794071568629
"2.78.1",78,1,2,0.519933071328801
"3.78.1",78,1,3,0.545604225229652
"4.78.1",78,1,4,0.65415497172716
"5.78.1",78,1,5,0.5989500883344
"1.1.2",1,2,1,0.612022205422251
"2.1.2",1,2,2,0.763884121334753
"3.1.2",1,2,3,0.624652615127657
"4.1.2",1,2,4,0.470785754622902
"5.1.2",1,2,5,0.412630540008261
"1.2.2",2,2,1,0.603490522427839
"2.2.2",2,2,2,0.966684355283124
"3.2.2",2,2,3,0.722663671128626
"4.2.2",2,2,4,0.637012942461653
"5.2.2",2,2,5,0.424288794702243
"1.4.2",4,2,1,0.542652027850326
"2.4.2",4,2,2,0.505820899923545
"3.4.2",4,2,3,0.646356214724802
"4.4.2",4,2,4,0.538389784791442
"5.4.2",4,2,5,0.585112230679571
"1.5.2",5,2,1,0.651425783931833
"2.5.2",5,2,2,0.736591993724875
"3.5.2",5,2,3,0.599901752653053
"4.5.2",5,2,4,0.692415819449698
"5.5.2",5,2,5,0.564285025505595
"1.6.2",6,2,1,0.51045672800614
"2.6.2",6,2,2,0.641491998864861
"3.6.2",6,2,3,0.686762590518871
"4.6.2",6,2,4,0.338528515449383
"5.6.2",6,2,5,0.523413145534785
