fips,sex,x.race.g1,x.rfbmi5
72,3,3,0.666048275
78,3,3,0.678804968
1,3,4,0.572234661
2,3,4,0.644944826
4,3,4,0.546721605
5,3,4,0.637764396
6,3,4,0.418552869
8,3,4,0.496081977
9,3,4,0.462416623
10,3,4,0.47139897
11,3,4,0.530373677
12,3,4,0.438661646
13,3,4,0.472639051
15,3,4,0.526589092
16,3,4,0.487956853
17,3,4,0.429233149
18,3,4,0.435848207
19,3,4,0.55772686
20,3,4,0.520737204
21,3,4,0.54152066
22,3,4,0.716048189
23,3,4,0.613863224
24,3,4,0.424312508
25,3,4,0.483598942
26,3,4,0.537881366
27,3,4,0.554933565
28,3,4,0.652518011
29,3,4,0.55499852
30,3,4,0.615232042
31,3,4,0.590395112
32,3,4,0.483118564
33,3,4,0.484558048
34,3,4,0.430646764
35,3,4,0.654984684
36,3,4,0.423668259
37,3,4,0.563420967
38,3,4,0.688954658
39,3,4,0.4910608
40,3,4,0.613872032
41,3,4,0.576974252
42,3,4,0.405295091
44,3,4,0.549836725
45,3,4,0.54593768
46,3,4,0.665325634
47,3,4,0.639689946
48,3,4,0.499593242
49,3,4,0.569674332
50,3,4,0.496745949
51,3,4,0.534013654
53,3,4,0.456549913
54,3,4,0.575726035
55,3,4,0.489188501
56,3,4,0.640122401
66,3,4,0.623480516
72,3,4,0.537527115
78,3,4,0.74406983
1,3,5,0.621897333
2,3,5,0.476345822
4,3,5,0.681674665
5,3,5,0.599086407
6,3,5,0.597147944
8,3,5,0.592656992
9,3,5,0.656098771
10,3,5,0.603261928
11,3,5,0.561717868
12,3,5,0.616619004
13,3,5,0.597262994
15,3,5,0.67768305
16,3,5,0.758956713
17,3,5,0.500857032
18,3,5,0.767048662
19,3,5,0.742175924
20,3,5,0.673099362
21,3,5,0.723005595
22,3,5,0.61253198
23,3,5,0.64040604
24,3,5,0.572812605
25,3,5,0.631836571
26,3,5,0.678058666
27,3,5,0.685255545
28,3,5,0.635845969
29,3,5,0.713837005
30,3,5,0.641348154
31,3,5,0.787630446
32,3,5,0.646503674
33,3,5,0.691434093
34,3,5,0.530404596
35,3,5,0.780718298
36,3,5,0.62089864
37,3,5,0.571455803
38,3,5,0.582199409
39,3,5,0.677209298
40,3,5,0.670359861
41,3,5,0.62249145
42,3,5,0.729960285
44,3,5,0.545017206
45,3,5,0.677018856
46,3,5,0.71145196
47,3,5,0.661778504
48,3,5,0.578680044
49,3,5,0.546874858
50,3,5,0.492178856
51,3,5,0.64604073
53,3,5,0.650280705
54,3,5,0.687317978
55,3,5,0.674666084
56,3,5,0.554994234
66,3,5,0.630330311
72,3,5,1
78,3,5,0.762603287
1,1,6,0.745675027
2,1,6,0.703660446
4,1,6,0.69542275
5,1,6,0.702728814
6,1,6,0.671771225
8,1,6,0.652535644
9,1,6,0.69571339
10,1,6,0.730295805
11,1,6,0.577687614
12,1,6,0.697729245
13,1,6,0.69835009
15,1,6,0.669826636
16,1,6,0.72138239
17,1,6,0.716543166
18,1,6,0.711501057
19,1,6,0.760485763
20,1,6,0.728391696
21,1,6,0.734039315
22,1,6,0.734501596
23,1,6,0.71993315
24,1,6,0.693838158
25,1,6,0.683662764
26,1,6,0.726182948
27,1,6,0.729583284
28,1,6,0.741016471
29,1,6,0.746990447
30,1,6,0.694595942
31,1,6,0.748863198
32,1,6,0.694100408
33,1,6,0.715411706
34,1,6,0.723444385
35,1,6,0.699807468
36,1,6,0.667603941
37,1,6,0.713170039
38,1,6,0.73649822
39,1,6,0.707825647
40,1,6,0.746238419
41,1,6,0.687070989
42,1,6,0.713713576
44,1,6,0.705222694
45,1,6,0.716805299
46,1,6,0.736301338
47,1,6,0.740489193
48,1,6,0.738581583
49,1,6,0.671099037
50,1,6,0.706030674
51,1,6,0.708060571
53,1,6,0.70036644
54,1,6,0.756724673
55,1,6,0.720089919
56,1,6,0.706968063
66,1,6,0.678260493
72,1,6,0.683096907
78,1,6,0.544742653
1,2,6,0.648369443
2,2,6,0.620511039
4,2,6,0.566864169
5,2,6,0.662867721
6,2,6,0.54738229
8,2,6,0.50218862
9,2,6,0.542040414
10,2,6,0.628263742
11,2,6,0.493985831
12,2,6,0.567690096
13,2,6,0.618252568
15,2,6,0.47743007
16,2,6,0.569318126
17,2,6,0.585532808
18,2,6,0.628436146
19,2,6,0.606214367
20,2,6,0.601509741
21,2,6,0.648362032
22,2,6,0.652516678
23,2,6,0.585457657
24,2,6,0.596157706
25,2,6,0.516007645
26,2,6,0.624641411
27,2,6,0.559640101
28,2,6,0.684730575
29,2,6,0.596177564
30,2,6,0.554143357
31,2,6,0.617442944
32,2,6,0.547248748
33,2,6,0.54872651
34,2,6,0.552854348
35,2,6,0.595238495
36,2,6,0.546919415
37,2,6,0.623987148
38,2,6,0.618472205
39,2,6,0.617901021
40,2,6,0.627946425
41,2,6,0.566255963
42,2,6,0.592698142
44,2,6,0.567986815
45,2,6,0.629721153
46,2,6,0.597020461
47,2,6,0.630863768
48,2,6,0.625319746
49,2,6,0.527373762
50,2,6,0.525392759
51,2,6,0.60190676
53,2,6,0.565862047
54,2,6,0.661108844
55,2,6,0.598051615
56,2,6,0.567434988
66,2,6,0.601689664
72,2,6,0.648985683
78,2,6,0.758500553
1,3,6,0.696812438
2,3,6,0.665658936
4,3,6,0.632026825
5,3,6,0.682917694
6,3,6,0.610354087
8,3,6,0.579667642
9,3,6,0.619742454
10,3,6,0.678252511
11,3,6,0.534598602
12,3,6,0.632825275
13,3,6,0.658474094
15,3,6,0.576760316
16,3,6,0.646723332
17,3,6,0.650885399
