"","fips","sex","x.race.g1","variable","value"
"343",23,1,1,"x.michd",0.108170562
"344",23,1,2,"x.michd",0
"345",23,1,3,"x.michd",0.128584043
"346",23,1,4,"x.michd",0.090288127
"347",23,1,5,"x.michd",0.102038742
"348",23,1,6,"x.michd",0.106831441
"349",23,2,1,"x.michd",0.05269355
"350",23,2,2,"x.michd",0.158175546
"351",23,2,3,"x.michd",0.057803124
"352",23,2,4,"x.michd",0.054243989
"353",23,2,5,"x.michd",0.08006919
"354",23,2,6,"x.michd",0.053581974
"355",23,3,1,"x.michd",0.078891717
"356",23,3,2,"x.michd",0.051055855
"357",23,3,3,"x.michd",0.096643959
"358",23,3,4,"x.michd",0.078119973
"359",23,3,5,"x.michd",0.093696217
"360",23,3,6,"x.michd",0.079171846
"361",24,1,1,"x.michd",0.086806191
"362",24,1,2,"x.michd",0.065850338
"363",24,1,3,"x.michd",0.047233561
"364",24,1,4,"x.michd",0.033238202
"365",24,1,5,"x.michd",0.069855538
"366",24,1,6,"x.michd",0.072768195
"367",24,2,1,"x.michd",0.052535644
"368",24,2,2,"x.michd",0.040854462
"369",24,2,3,"x.michd",0.033806255
"370",24,2,4,"x.michd",0.024704654
"371",24,2,5,"x.michd",0.067841464
"372",24,2,6,"x.michd",0.045516451
"373",24,3,1,"x.michd",0.069053251
"374",24,3,2,"x.michd",0.052129959
"375",24,3,3,"x.michd",0.040954634
"376",24,3,4,"x.michd",0.028805548
"377",24,3,5,"x.michd",0.068730504
"378",24,3,6,"x.michd",0.058518493
"379",25,1,1,"x.michd",0.091580829
"380",25,1,2,"x.michd",0.039887396
"381",25,1,3,"x.michd",0.041069593
"382",25,1,4,"x.michd",0.0301767
"383",25,1,5,"x.michd",0.125903481
"384",25,1,6,"x.michd",0.078602944
"385",25,2,1,"x.michd",0.049754558
"386",25,2,2,"x.michd",0.06092156
"387",25,2,3,"x.michd",0.071592614
"388",25,2,4,"x.michd",0.030783111
"389",25,2,5,"x.michd",0.0536841
"390",25,2,6,"x.michd",0.051226022
"391",25,3,1,"x.michd",0.069516031
"392",25,3,2,"x.michd",0.051149857
"393",25,3,3,"x.michd",0.056835799
"394",25,3,4,"x.michd",0.030481376
"395",25,3,5,"x.michd",0.084927587
"396",25,3,6,"x.michd",0.064218611
"397",26,1,1,"x.michd",0.106068525
"398",26,1,2,"x.michd",0.072214315
"399",26,1,3,"x.michd",0.048677345
"400",26,1,4,"x.michd",0.049033492
"401",26,1,5,"x.michd",0.128824164
"402",26,1,6,"x.michd",0.097496426
"403",26,2,1,"x.michd",0.061359225
"404",26,2,2,"x.michd",0.046661161
"405",26,2,3,"x.michd",0.029040882
"406",26,2,4,"x.michd",0.02018353
"407",26,2,5,"x.michd",0.075784734
"408",26,2,6,"x.michd",0.056673956
"409",26,3,1,"x.michd",0.083064599
"410",26,3,2,"x.michd",0.058431365
"411",26,3,3,"x.michd",0.038310515
"412",26,3,4,"x.michd",0.034904025
"413",26,3,5,"x.michd",0.102277636
"414",26,3,6,"x.michd",0.076380669
